infector,contactee,lambda,infector_index,contactee_index,unique_contact_probability,seed,matrix_index
P001,P001,0.0,0,0,0.0,123,0
P002,P001,12.0,1,0,0.9999938557876467,123,0
P003,P001,0.07587270408142834,2,0,0.07306580601075685,123,0
P004,P001,0.005077562416645177,3,0,0.005064693386911401,123,0
P005,P001,0.02332708904228666,4,0,0.02305711580499359,123,0
P006,P001,0.28131046506664603,5,0,0.2452060380580059,123,0
P007,P001,0.00722391515325302,6,0,0.007197885394818582,123,0
P008,P001,0.039768201560399515,7,0,0.03898782554104574,123,0
P009,P001,0.19133834466163194,8,0,0.17414688211850426,123,0
P010,P001,0.02151705067113274,9,0,0.02128721038303072,123,0
P011,P001,0.03173088381769585,10,0,0.03123274205242277,123,0
P012,P001,0.053606816862608854,11,0,0.05219530592732713,123,0
P013,P001,0.24442821171407914,12,0,0.21684779249800534,123,0
P014,P001,0.027537814374842085,13,0,0.0271621053989054,123,0
P015,P001,0.03917505495306359,14,0,0.038417635343683476,123,0
P016,P001,0.03947167223459312,15,0,0.038702814993957335,123,0
P017,P001,0.5594375711977834,16,0,0.4284695813604654,123,0
P018,P001,0.5473750149326273,17,0,0.42153371549244956,123,0
P019,P001,0.1454593101944053,18,0,0.135374929215757,123,0
P020,P001,0.07730154202357316,19,0,0.07438929900333036,123,0
P021,P001,0.11732537920339399,20,0,0.11070421227228289,123,0
P022,P001,0.24394486864408793,21,0,0.21646916981080622,123,0
P023,P001,0.020006178645757988,22,0,0.019807382974909693,123,0
P024,P001,0.1821236895352952,23,0,0.16650176097026947,123,0
P025,P001,0.013939759205615373,24,0,0.013843050648444044,123,0
P026,P001,0.02693736661953616,25,0,0.026577791661435146,123,0
P027,P001,0.13876825923116484,26,0,0.12957028086029743,123,0
P028,P001,0.01119781767479686,27,0,0.011135355478617992,123,0
P029,P001,0.045090748220559466,28,0,0.04408926930092072,123,0
P030,P001,0.027237635564376802,29,0,0.02687003624263562,123,0
P031,P001,0.04626969898627855,30,0,0.045215576927761014,123,0
P032,P001,0.0001542449243187287,31,0,0.00015423302918193826,123,0
P033,P001,0.00722391515325302,32,0,0.007197885394818582,123,0
P034,P001,0.02543466798290536,33,0,0.025113931841483028,123,0
P035,P001,0.13338299585109775,34,0,0.12487014318832557,123,0
P036,P001,0.0497982346048467,35,0,0.04857863095533799,123,0
P037,P001,0.058565483844233754,36,0,0.056883520515119246,123,0
P038,P001,0.09681381680019395,37,0,0.0922750064546819,123,0
P039,P001,0.015459817688100749,38,0,0.015340928165241685,123,0
P040,P001,0.06263070979514057,39,0,0.06070971965090677,123,0
P041,P001,0.028437810540708625,40,0,0.028037261896237453,123,0
P042,P001,0.0075301612506537925,41,0,0.007501880616856527,123,0
P043,P001,0.034715205440571634,42,0,0.03411954541047746,123,0
P044,P001,0.09988958275294244,43,0,0.09506266679122855,123,0
P045,P001,0.07300888883946101,44,0,0.07040743301002372,123,0
P046,P001,0.0512647910402024,45,0,0.049972921434106254,123,0
P047,P001,0.6981713690632558,46,0,0.5025057941894421,123,0
P048,P001,0.07929849148699612,47,0,0.07623585244542996,123,0
P049,P001,0.14145005442366643,48,0,0.13190146781634815,123,0
P050,P001,0.5692633359896117,49,0,0.43405780557718954,123,0
P051,P001,0.013635470042969175,50,0,0.01354292811638691,123,0
P052,P001,0.017887115461876088,51,0,0.01772809058916347,123,0
P053,P001,0.32237137062413607,52,0,0.27557089132174717,123,0
P054,P001,0.023025643405514492,53,0,0.022762576243574917,123,0
P055,P001,0.05331436342480676,54,0,0.05191807664982895,123,0
P056,P001,0.1560727331928441,55,0,0.14450303491761496,123,0
